angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.17,,"[98, 147, 227, 274]",,0.0,,0.15,,0.0,,0.47,,0.2,,0.0,
0.17,,"[98, 147, 228, 274]",,0.0,,0.14,,0.0,,0.48,,0.21,,0.0,
0.15,,"[99, 148, 226, 273]",,0.0,,0.08,,0.0,,0.57,,0.2,,0.0,
0.14,,"[99, 148, 227, 273]",,0.0,,0.09,,0.0,,0.55,,0.22,,0.0,
0.1,,"[99, 148, 226, 273]",,0.0,,0.08,,0.0,,0.59,,0.23,,0.0,
0.11,,"[100, 149, 225, 271]",,0.0,,0.07,,0.0,,0.58,,0.24,,0.0,
0.09,,"[102, 150, 223, 270]",,0.0,,0.06,,0.0,,0.66,,0.19,,0.0,
0.11,,"[98, 149, 227, 272]",,0.0,,0.08,,0.0,,0.59,,0.22,,0.0,
0.15,,"[98, 147, 227, 275]",,0.0,,0.13,,0.0,,0.42,,0.3,,0.0,
0.06,,"[96, 147, 229, 276]",,0.0,,0.12,,0.0,,0.61,,0.2,,0.0,
0.04,,"[96, 149, 228, 272]",,0.0,,0.07,,0.0,,0.76,,0.12,,0.0,
0.02,,"[94, 149, 227, 269]",,0.0,,0.03,,0.0,,0.86,,0.08,,0.0,
0.03,,"[95, 151, 224, 267]",,0.0,,0.06,,0.0,,0.8,,0.11,,0.0,
0.02,,"[93, 148, 228, 271]",,0.0,,0.05,,0.0,,0.84,,0.08,,0.0,
0.02,,"[96, 152, 226, 266]",,0.0,,0.02,,0.0,,0.89,,0.06,,0.0,
0.04,,"[96, 150, 227, 268]",,0.0,,0.06,,0.0,,0.8,,0.1,,0.0,
0.02,,"[97, 151, 226, 267]",,0.0,,0.03,,0.0,,0.89,,0.06,,0.0,
0.02,,"[95, 147, 229, 272]",,0.0,,0.06,,0.0,,0.85,,0.06,,0.0,
0.01,,"[94, 145, 232, 276]",,0.0,,0.03,,0.0,,0.92,,0.03,,0.0,
0.04,,"[95, 146, 233, 277]",,0.0,,0.06,,0.0,,0.8,,0.09,,0.0,
0.05,,"[95, 146, 232, 278]",,0.0,,0.06,,0.0,,0.77,,0.12,,0.0,
0.06,,"[94, 149, 233, 275]",,0.0,,0.06,,0.0,,0.75,,0.12,,0.01,
0.05,,"[95, 150, 230, 272]",,0.0,,0.04,,0.0,,0.79,,0.11,,0.0,
0.04,,"[93, 146, 234, 278]",,0.0,,0.05,,0.0,,0.78,,0.12,,0.0,
0.02,,"[93, 146, 234, 278]",,0.0,,0.06,,0.0,,0.8,,0.11,,0.0,
0.02,,"[93, 147, 233, 277]",,0.0,,0.05,,0.0,,0.83,,0.09,,0.0,
0.01,,"[93, 147, 230, 274]",,0.0,,0.02,,0.0,,0.95,,0.03,,0.0,
